index,Unnamed: 0,INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP,EXPIRY_DAYS,Approx_Spot_Price,Model_Price,Price_Difference
2424191,32076149,OPTIDX,BANKNIFTY,2019-12-19,29700.0,PE,0.0,0.0,0.0,2181.4,1194.9,0.0,0.0,0.0,0.0,2019-10-30,50,29088.620414424186,1085.2671330574651,-1096.132866942535
2424191,32076149,OPTIDX,BANKNIFTY,2019-12-19,29700.0,PE,0.0,0.0,0.0,2181.4,1194.9,0.0,0.0,0.0,0.0,2019-10-30,50,29088.620414424186,1033.6229914459,-1147.7770085541001
2424246,32076204,OPTIDX,BANKNIFTY,2019-12-26,29700.0,CE,0.0,0.0,0.0,3260.3,1835.25,0.0,0.0,0.0,0.0,2019-10-30,57,30223.49891759568,1362.7491562481548,-1897.5508437518454
2424246,32076204,OPTIDX,BANKNIFTY,2019-12-26,29700.0,CE,0.0,0.0,0.0,3260.3,1835.25,0.0,0.0,0.0,0.0,2019-10-30,57,30223.49891759568,1267.1483187693805,-1993.1516812306197
2424302,32076260,OPTIDX,BANKNIFTY,2019-12-26,29700.0,PE,0.0,0.0,0.0,2505.8,1275.8,0.0,0.0,0.0,0.0,2019-10-30,57,30223.49891759568,659.7391126515344,-1846.0608873484657
2424302,32076260,OPTIDX,BANKNIFTY,2019-12-26,29700.0,PE,0.0,0.0,0.0,2505.8,1275.8,0.0,0.0,0.0,0.0,2019-10-30,57,30223.49891759568,598.9963261854828,-1906.8036738145174
2424344,32076302,OPTIDX,BANKNIFTY,2020-01-02,29700.0,CE,0.0,0.0,0.0,1760.4,1943.55,0.0,0.0,0.0,0.0,2019-10-30,64,29182.304517428038,815.8194294330012,-944.5805705669989
2424344,32076302,OPTIDX,BANKNIFTY,2020-01-02,29700.0,CE,0.0,0.0,0.0,1760.4,1943.55,0.0,0.0,0.0,0.0,2019-10-30,64,29182.304517428038,876.0708527036836,-884.3291472963165
2424385,32076343,OPTIDX,BANKNIFTY,2020-01-02,29700.0,PE,0.0,0.0,0.0,2018.85,1350.9,0.0,0.0,0.0,0.0,2019-10-30,64,29182.304517428038,1112.9047742302196,-905.9452257697803
2424385,32076343,OPTIDX,BANKNIFTY,2020-01-02,29700.0,PE,0.0,0.0,0.0,2018.85,1350.9,0.0,0.0,0.0,0.0,2019-10-30,64,29182.304517428038,1101.9994848953847,-916.8505151046152
2428307,32080265,OPTSTK,ACC,2019-10-31,1400.0,CE,0.0,0.0,0.0,133.0,132.5,0.0,0.0,3600.0,0.0,2019-10-30,1,1532.7082323131551,133.3024616698081,0.3024616698081104
2428307,32080265,OPTSTK,ACC,2019-10-31,1400.0,CE,0.0,0.0,0.0,133.0,132.5,0.0,0.0,3600.0,0.0,2019-10-30,1,1532.7082323131551,133.5214997309632,0.5214997309631997
2428345,32080303,OPTSTK,ACC,2019-10-31,1400.0,PE,0.2,0.2,0.1,0.1,0.0,8.0,44.8,34800.0,-2800.0,2019-10-30,1,1532.7082323131551,0.0,-0.1
2428345,32080303,OPTSTK,ACC,2019-10-31,1400.0,PE,0.2,0.2,0.1,0.1,0.0,8.0,44.8,34800.0,-2800.0,2019-10-30,1,1532.7082323131551,0.0,-0.1
2428383,32080341,OPTSTK,ACC,2019-11-28,1400.0,CE,174.5,174.5,174.5,174.5,154.1,1.0,6.29,400.0,400.0,2019-10-30,29,1555.9493886510888,165.4280238540812,-9.071976145918796
2428383,32080341,OPTSTK,ACC,2019-11-28,1400.0,CE,174.5,174.5,174.5,174.5,154.1,1.0,6.29,400.0,400.0,2019-10-30,29,1555.9493886510888,163.9398055508856,-10.560194449114391
2428418,32080376,OPTSTK,ACC,2019-11-28,1400.0,PE,14.0,14.0,13.0,13.0,15.65,2.0,11.3,1200.0,800.0,2019-10-30,29,1555.9493886510888,0.5705233544063696,-12.429476645593631
2428418,32080376,OPTSTK,ACC,2019-11-28,1400.0,PE,14.0,14.0,13.0,13.0,15.65,2.0,11.3,1200.0,800.0,2019-10-30,29,1555.9493886510888,0.6681780859157029,-12.331821914084298
2428453,32080411,OPTSTK,ACC,2019-12-26,1400.0,CE,0.0,0.0,0.0,329.9,177.5,0.0,0.0,0.0,0.0,2019-10-30,57,1656.4610600886851,266.14652027705176,-63.753479722948214
2428453,32080411,OPTSTK,ACC,2019-12-26,1400.0,CE,0.0,0.0,0.0,329.9,177.5,0.0,0.0,0.0,0.0,2019-10-30,57,1656.4610600886851,271.60485245413753,-58.29514754586245
2428488,32080446,OPTSTK,ACC,2019-12-26,1400.0,PE,0.0,0.0,0.0,62.55,32.45,0.0,0.0,0.0,0.0,2019-10-30,57,1656.4610600886851,0.662238697129357,-61.88776130287064
2428488,32080446,OPTSTK,ACC,2019-12-26,1400.0,PE,0.0,0.0,0.0,62.55,32.45,0.0,0.0,0.0,0.0,2019-10-30,57,1656.4610600886851,0.4814994392483495,-62.068500560751644
2460490,32148714,OPTIDX,BANKNIFTY,2019-10-03,29700.0,CE,480.0,493.5,116.5,146.1,146.1,189792.0,1134617.14,180280.0,163380.0,2019-09-30,3,29202.747028179652,56.12126113349144,-89.97873886650856
2460490,32148714,OPTIDX,BANKNIFTY,2019-10-03,29700.0,CE,480.0,493.5,116.5,146.1,146.1,189792.0,1134617.14,180280.0,163380.0,2019-09-30,3,29202.747028179652,49.06014028010658,-97.03985971989341
2460561,32148785,OPTIDX,BANKNIFTY,2019-10-03,29700.0,PE,411.9,827.8,306.1,631.15,631.15,47894.0,289061.5,32560.0,-30060.0,2019-09-30,3,29202.747028179652,548.6256911760094,-82.52430882399062
2460561,32148785,OPTIDX,BANKNIFTY,2019-10-03,29700.0,PE,411.9,827.8,306.1,631.15,631.15,47894.0,289061.5,32560.0,-30060.0,2019-09-30,3,29202.747028179652,564.777075630416,-66.37292436958398
2460632,32148856,OPTIDX,BANKNIFTY,2019-10-10,29700.0,CE,644.25,644.25,312.6,371.4,371.4,1863.0,11216.99,9520.0,8880.0,2019-09-30,10,29221.242922164573,214.48036600613787,-156.9196339938621
